Age_group,Attrition,BusinessTravel,DailyRate,Department,Distance_group,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46-60,0,Travel_Rarely,406,Sales,Near-by,Technical Training,Marketing,Very dissatisfied,Male,52,Satisfied,Senior,Manager,Satisfied,Married,17465,15596,3,Y,No,12,Low,Very satisfied,80,Level 2,21-30,3,Good,11-20,9,4,9
31-45,0,Travel_Rarely,130,Sales,Near-by,College,Marketing,Very satisfied,Male,32,Satisfied,Mid level Specialist,Sales Executive,Dissatisfied,Single,7351,20619,7,Y,No,16,Low,Satisfied,80,Level 1,11-20,2,Good,1-10,0,0,0
31-45,0,Travel_Frequently,1082,Research & Development,Very far,Bachelors degree,Life Sciences,Satisfied,Female,83,Satisfied,Mid level Specialist,Manufacturing Director,Very dissatisfied,Married,10820,11535,8,Y,No,11,Low,Satisfied,80,Level 2,11-20,1,Good,1-10,7,0,1
31-45,1,Travel_Frequently,203,Research & Development,Near-by,Bachelors degree,Life Sciences,Very dissatisfied,Male,84,Satisfied,Senior,Healthcare Representative,Very satisfied,Divorced,12169,13547,7,Y,No,11,Low,Very satisfied,80,Level 4,21-30,4,Good,11-20,7,11,5
31-45,0,Travel_Rarely,1308,Research & Development,Far,Bachelors degree,Medical,Satisfied,Male,44,Dissatisfied,Executive,Research Director,Satisfied,Single,19626,17544,1,Y,No,14,Low,Very dissatisfied,80,Level 1,21-30,2,Excellent,21-30,7,4,9
18-30,0,Travel_Rarely,984,Research & Development,Near-by,Technical Training,Technical Degree,Very satisfied,Female,70,Dissatisfied,Entry level,Research Scientist,Dissatisfied,Single,2070,25326,1,Y,Yes,11,Low,Satisfied,80,Level 1,1-10,6,Excellent,1-10,2,2,2
31-45,0,Non-Travel,439,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,70,Satisfied,Junior or Associate,Laboratory Technician,Dissatisfied,Single,6782,8770,9,Y,No,15,Low,Satisfied,80,Level 1,1-10,2,Average,1-10,4,0,3
31-45,0,Non-Travel,217,Research & Development,Far,Masters degree,Life Sciences,Very dissatisfied,Male,78,Satisfied,Junior or Associate,Manufacturing Director,Very satisfied,Single,7779,23238,2,Y,No,20,High,Very dissatisfied,80,Level 1,11-20,0,Good,11-20,9,0,9
31-45,0,Travel_Frequently,793,Sales,Very far,Bachelors degree,Life Sciences,Satisfied,Male,67,Very satisfied,Entry level,Sales Representative,Very satisfied,Married,2791,21981,0,Y,No,12,Low,Very dissatisfied,80,Level 2,1-10,4,Good,1-10,2,2,2
18-30,0,Travel_Rarely,1451,Research & Development,Near-by,Technical Training,Life Sciences,Very dissatisfied,Male,67,Dissatisfied,Entry level,Research Scientist,Dissatisfied,Married,3201,19911,0,Y,No,17,Low,Very dissatisfied,80,Level 1,1-10,2,Bad,1-10,3,0,4
31-45,0,Travel_Frequently,1182,Sales,Far,College,Marketing,Very satisfied,Male,54,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Divorced,4968,18500,1,Y,No,11,Low,Very satisfied,80,Level 2,1-10,3,Good,1-10,2,0,2
46-60,0,Travel_Rarely,174,Sales,Near-by,Masters degree,Technical Degree,Very satisfied,Male,56,Dissatisfied,Senior,Sales Executive,Dissatisfied,Married,13120,11879,6,Y,No,17,Low,Dissatisfied,80,Level 2,21-30,3,Good,1-10,8,2,3
31-45,0,Travel_Frequently,1003,Research & Development,Near-by,College,Life Sciences,Very satisfied,Male,95,Satisfied,Junior or Associate,Manufacturing Director,Satisfied,Single,4033,15834,2,Y,No,11,Low,Very satisfied,80,Level 1,1-10,3,Average,1-10,2,0,2
18-30,0,Travel_Frequently,490,Research & Development,Far,Bachelors degree,Life Sciences,Very satisfied,Female,61,Satisfied,Entry level,Research Scientist,Dissatisfied,Divorced,3291,17940,0,Y,No,14,Low,Very satisfied,80,Level 3,1-10,2,Average,1-10,5,1,1
31-45,0,Travel_Rarely,188,Research & Development,Very far,Bachelors degree,Medical,Dissatisfied,Male,56,Very dissatisfied,Junior or Associate,Laboratory Technician,Very satisfied,Single,4272,9558,4,Y,No,19,Low,Very dissatisfied,80,Level 1,11-20,3,Good,1-10,0,0,0
18-30,0,Travel_Rarely,718,Research & Development,Near-by,Technical Training,Medical,Dissatisfied,Male,79,Dissatisfied,Junior or Associate,Manufacturing Director,Very satisfied,Married,5056,17689,1,Y,Yes,15,Low,Satisfied,80,Level 2,11-20,2,Average,11-20,7,1,2
31-45,0,Travel_Rarely,433,Human Resources,Near-by,Bachelors degree,Human Resources,Satisfied,Male,37,Very satisfied,Entry level,Human Resources,Satisfied,Married,2844,6004,1,Y,No,13,Low,Very satisfied,80,Level 2,1-10,2,Excellent,1-10,6,5,0
18-30,0,Travel_Frequently,773,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,39,Dissatisfied,Entry level,Research Scientist,Satisfied,Divorced,2703,22088,1,Y,Yes,14,Low,Very satisfied,80,Level 2,1-10,2,Good,1-10,1,0,2
18-30,1,Non-Travel,247,Research & Development,Near-by,Technical Training,Medical,Satisfied,Male,80,Satisfied,Entry level,Laboratory Technician,Satisfied,Single,1904,13556,1,Y,No,12,Low,Very satisfied,80,Level 1,1-10,0,Good,1-10,0,0,0
31-45,1,Travel_Rarely,603,Sales,Near-by,Masters degree,Marketing,Very dissatisfied,Female,77,Satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Single,8224,18385,0,Y,Yes,17,Low,Very dissatisfied,80,Level 1,1-10,3,Good,1-10,2,0,3
31-45,0,Travel_Rarely,167,Research & Development,Far,Masters degree,Life Sciences,Dissatisfied,Male,46,Satisfied,Entry level,Laboratory Technician,Very satisfied,Married,4766,9051,3,Y,Yes,11,Low,Very dissatisfied,80,Level 2,1-10,4,Good,1-10,0,0,0
31-45,1,Travel_Frequently,874,Research & Development,Far,Bachelors degree,Medical,Satisfied,Male,72,Satisfied,Entry level,Laboratory Technician,Satisfied,Married,2610,6233,1,Y,No,12,Low,Satisfied,80,Level 2,1-10,5,Average,1-10,2,2,2
31-45,0,Travel_Rarely,367,Research & Development,Very far,College,Medical,Satisfied,Female,52,Dissatisfied,Junior or Associate,Healthcare Representative,Very satisfied,Divorced,5731,17171,7,Y,No,13,Low,Satisfied,80,Level 3,1-10,2,Good,1-10,2,1,3
18-30,0,Travel_Rarely,199,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,55,Dissatisfied,Entry level,Research Scientist,Satisfied,Married,2539,7950,1,Y,No,13,Low,Satisfied,80,Level 2,1-10,0,Good,1-10,2,2,2
31-45,0,Travel_Rarely,1400,Sales,Near-by,Technical Training,Life Sciences,Dissatisfied,Female,70,Satisfied,Junior or Associate,Sales Executive,Satisfied,Married,5714,5829,1,Y,No,20,High,Very dissatisfied,80,Level 1,1-10,3,Average,1-10,5,1,3
31-45,0,Travel_Rarely,528,Human Resources,Near-by,Masters degree,Technical Degree,Satisfied,Male,100,Satisfied,Entry level,Human Resources,Satisfied,Single,4323,7108,1,Y,No,17,Low,Dissatisfied,80,Level 1,1-10,2,Bad,1-10,4,1,4
18-30,1,Travel_Rarely,408,Sales,Very far,Technical Training,Life Sciences,Very satisfied,Female,45,Dissatisfied,Mid level Specialist,Sales Executive,Very dissatisfied,Married,7336,11162,1,Y,No,13,Low,Very dissatisfied,80,Level 2,11-20,3,Bad,11-20,8,3,10
31-45,0,Travel_Frequently,593,Research & Development,Near-by,Masters degree,Medical,Dissatisfied,Female,88,Satisfied,Mid level Specialist,Research Director,Satisfied,Single,13499,13782,9,Y,No,17,Low,Satisfied,80,Level 1,21-30,3,Average,11-20,7,2,13
31-45,1,Travel_Frequently,481,Sales,Far,Bachelors degree,Life Sciences,Satisfied,Male,44,Satisfied,Senior,Sales Executive,Very dissatisfied,Single,13758,2447,0,Y,Yes,12,Low,Dissatisfied,80,Level 1,21-30,2,Average,21-30,9,13,14
31-45,0,Travel_Rarely,647,Sales,Near-by,Masters degree,Marketing,Dissatisfied,Male,45,Satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Single,5155,2253,7,Y,No,13,Low,Very satisfied,80,Level 1,1-10,3,Excellent,1-10,4,1,5
31-45,0,Travel_Rarely,982,Research & Development,Near-by,Masters degree,Medical,Very satisfied,Male,58,Dissatisfied,Entry level,Laboratory Technician,Satisfied,Married,2258,16340,6,Y,No,12,Low,Dissatisfied,80,Level 2,11-20,2,Good,1-10,0,1,7
18-30,0,Travel_Rarely,477,Research & Development,Very far,Bachelors degree,Medical,Very satisfied,Male,49,Satisfied,Entry level,Laboratory Technician,Dissatisfied,Single,3597,6409,8,Y,No,22,High,Very satisfied,80,Level 1,1-10,2,Good,1-10,3,1,2
18-30,1,Travel_Rarely,1485,Research & Development,Far,Technical Training,Life Sciences,Satisfied,Female,79,Satisfied,Entry level,Laboratory Technician,Very satisfied,Married,2515,22955,1,Y,Yes,11,Low,Very satisfied,80,Level 1,1-10,4,Average,1-10,1,0,0
18-30,0,Travel_Rarely,1384,Research & Development,Near-by,Masters degree,Medical,Very dissatisfied,Male,82,Very satisfied,Entry level,Laboratory Technician,Very satisfied,Married,4420,13421,1,Y,No,22,High,Dissatisfied,80,Level 2,1-10,2,Good,1-10,7,0,7
18-30,0,Travel_Rarely,852,Sales,Far,Bachelors degree,Marketing,Satisfied,Male,72,Dissatisfied,Junior or Associate,Sales Executive,Satisfied,Married,6578,2706,1,Y,No,18,Low,Very dissatisfied,80,Level 2,11-20,3,Good,11-20,3,1,4
31-45,0,Travel_Frequently,902,Research & Development,Very far,College,Medical,Satisfied,Female,92,Dissatisfied,Junior or Associate,Research Scientist,Very satisfied,Married,4422,21203,3,Y,Yes,13,Low,Very satisfied,80,Level 2,11-20,3,Bad,1-10,1,0,0
31-45,0,Travel_Rarely,819,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,44,Dissatisfied,Mid level Specialist,Manufacturing Director,Dissatisfied,Divorced,10274,19588,2,Y,No,18,Low,Dissatisfied,80,Level 2,11-20,2,Excellent,1-10,7,6,4
31-45,0,Travel_Frequently,669,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Male,97,Dissatisfied,Junior or Associate,Healthcare Representative,Very dissatisfied,Single,5343,25755,0,Y,No,20,High,Satisfied,80,Level 1,11-20,3,Good,11-20,9,4,9
31-45,0,Travel_Frequently,636,Research & Development,Near-by,Masters degree,Other,Very satisfied,Male,47,Dissatisfied,Entry level,Laboratory Technician,Very satisfied,Married,2376,26537,1,Y,No,13,Low,Dissatisfied,80,Level 2,1-10,2,Excellent,1-10,2,2,2
31-45,1,Travel_Rarely,1372,Sales,Near-by,Bachelors degree,Marketing,Very dissatisfied,Female,85,Very dissatisfied,Junior or Associate,Sales Executive,Satisfied,Single,5346,9489,8,Y,No,13,Low,Dissatisfied,80,Level 1,1-10,2,Average,1-10,3,1,3
31-45,0,Non-Travel,862,Sales,Near-by,Technical Training,Life Sciences,Satisfied,Female,76,Satisfied,Entry level,Sales Representative,Very dissatisfied,Divorced,2827,14947,1,Y,No,12,Low,Satisfied,80,Level 4,1-10,3,Good,1-10,0,0,0
46-60,0,Travel_Rarely,718,Research & Development,Near-by,Masters degree,Technical Degree,Very satisfied,Female,92,Satisfied,Executive,Manager,Very dissatisfied,Divorced,19943,18575,4,Y,No,13,Low,Very satisfied,80,Level 2,21-30,2,Good,1-10,2,4,2
18-30,0,Travel_Rarely,1401,Research & Development,Near-by,Technical Training,Medical,Dissatisfied,Female,54,Satisfied,Entry level,Laboratory Technician,Very satisfied,Married,3131,26342,1,Y,No,13,Low,Very dissatisfied,80,Level 2,11-20,5,Good,11-20,8,0,8
18-30,0,Travel_Rarely,645,Research & Development,Near-by,College,Life Sciences,Satisfied,Male,54,Satisfied,Entry level,Research Scientist,Very dissatisfied,Single,2552,7172,1,Y,No,25,High,Satisfied,80,Level 1,1-10,4,Good,1-10,1,0,0
31-45,0,Travel_Rarely,1457,Research & Development,Near-by,Bachelors degree,Medical,Very dissatisfied,Female,83,Satisfied,Entry level,Research Scientist,Satisfied,Married,4477,20100,4,Y,Yes,19,Low,Satisfied,80,Level 2,1-10,2,Average,1-10,2,0,2
31-45,0,Travel_Rarely,977,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Female,56,Dissatisfied,Junior or Associate,Manufacturing Director,Very satisfied,Married,6474,9961,1,Y,No,13,Low,Dissatisfied,80,Level 2,11-20,2,Average,11-20,8,3,11
18-30,0,Travel_Rarely,805,Research & Development,Near-by,Bachelors degree,Life Sciences,Very dissatisfied,Male,87,Dissatisfied,Entry level,Laboratory Technician,Satisfied,Single,3033,12828,1,Y,No,12,Low,Very dissatisfied,80,Level 1,1-10,2,Average,1-10,2,1,2
31-45,1,Travel_Rarely,1097,Research & Development,Far,Masters degree,Life Sciences,Satisfied,Male,96,Satisfied,Entry level,Research Scientist,Satisfied,Single,2936,10826,1,Y,Yes,11,Low,Satisfied,80,Level 1,1-10,4,Good,1-10,4,0,2
46-60,0,Travel_Rarely,1223,Research & Development,Near-by,College,Medical,Very satisfied,Female,50,Satisfied,Executive,Manager,Satisfied,Divorced,18606,18640,3,Y,No,18,Low,Dissatisfied,80,Level 2,21-30,6,Good,1-10,7,4,7
18-30,0,Travel_Rarely,942,Research & Development,Far,Technical Training,Life Sciences,Dissatisfied,Female,69,Very dissatisfied,Entry level,Research Scientist,Very satisfied,Married,2168,26933,0,Y,Yes,18,Low,Very dissatisfied,80,Level 2,1-10,2,Average,1-10,4,1,3
18-30,1,Travel_Frequently,1256,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Male,48,Dissatisfied,Entry level,Research Scientist,Very satisfied,Married,2853,4223,0,Y,Yes,11,Low,Dissatisfied,80,Level 2,1-10,5,Good,1-10,0,0,0
46-60,0,Travel_Rarely,1402,Sales,Near-by,Bachelors degree,Marketing,Satisfied,Female,69,Satisfied,Senior,Manager,Very dissatisfied,Married,17048,24097,8,Y,No,23,High,Very dissatisfied,80,Level 1,21-30,2,Good,21-30,15,15,9
31-45,0,Non-Travel,111,Research & Development,Far,Bachelors degree,Life Sciences,Very satisfied,Male,74,Very dissatisfied,Entry level,Research Scientist,Satisfied,Single,2290,4279,2,Y,No,13,Low,Very satisfied,80,Level 1,1-10,3,Good,1-10,0,0,0
31-45,0,Travel_Rarely,147,Human Resources,Near-by,Bachelors degree,Human Resources,Dissatisfied,Male,99,Satisfied,Entry level,Human Resources,Satisfied,Married,3600,8429,1,Y,No,13,Low,Very satisfied,80,Level 2,1-10,2,Good,1-10,4,1,4
31-45,1,Non-Travel,906,Research & Development,Near-by,College,Life Sciences,Very dissatisfied,Male,95,Dissatisfied,Entry level,Research Scientist,Very dissatisfied,Divorced,2107,20293,6,Y,No,17,Low,Very dissatisfied,80,Level 2,1-10,2,Bad,1-10,0,0,0
18-30,0,Travel_Rarely,1329,Sales,Very far,Masters degree,Life Sciences,Satisfied,Male,61,Satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Divorced,4115,13192,8,Y,No,19,Low,Satisfied,80,Level 4,1-10,3,Good,1-10,3,0,3
31-45,0,Travel_Frequently,1184,Sales,Near-by,Masters degree,Medical,Dissatisfied,Male,62,Satisfied,Junior or Associate,Sales Executive,Dissatisfied,Married,4327,25440,5,Y,No,12,Low,Very satisfied,80,Level 4,1-10,2,Good,1-10,0,0,0
46-60,0,Travel_Frequently,1421,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Female,30,Satisfied,Senior,Manager,Very dissatisfied,Married,17856,9490,2,Y,No,22,High,Satisfied,80,Level 2,31-40,3,Good,1-10,2,2,2
18-30,0,Travel_Rarely,1179,Research & Development,Far,Masters degree,Medical,Very satisfied,Male,78,Dissatisfied,Entry level,Laboratory Technician,Very dissatisfied,Married,3196,12449,1,Y,No,12,Low,Satisfied,80,Level 4,1-10,2,Good,1-10,5,3,3
46-60,0,Travel_Rarely,1450,Research & Development,Far,College,Life Sciences,Very satisfied,Male,52,Satisfied,Executive,Research Director,Dissatisfied,Married,19081,10849,5,Y,No,11,Low,Very dissatisfied,80,Level 2,21-30,2,Good,1-10,2,0,3
31-45,0,Travel_Rarely,1361,Sales,Far,Masters degree,Life Sciences,Satisfied,Male,94,Satisfied,Junior or Associate,Sales Executive,Very dissatisfied,Married,8966,21026,3,Y,Yes,15,Low,Very satisfied,80,Level 4,11-20,2,Good,1-10,7,1,7
18-30,1,Travel_Rarely,984,Research & Development,Far,College,Life Sciences,Very satisfied,Female,97,Satisfied,Entry level,Laboratory Technician,Dissatisfied,Married,2210,3372,1,Y,No,13,Low,Very dissatisfied,80,Level 2,1-10,3,Bad,1-10,0,0,0
31-45,0,Travel_Frequently,1146,Sales,Very far,Bachelors degree,Medical,Dissatisfied,Female,82,Satisfied,Junior or Associate,Sales Executive,Satisfied,Married,4539,4905,1,Y,No,12,Low,Very dissatisfied,80,Level 2,11-20,3,Average,11-20,7,0,1
31-45,0,Travel_Rarely,917,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Male,60,Very dissatisfied,Entry level,Laboratory Technician,Satisfied,Divorced,2741,6865,1,Y,No,14,Low,Satisfied,80,Level 2,1-10,4,Good,1-10,7,1,7
18-30,0,Travel_Rarely,853,Research & Development,Near-by,Masters degree,Life Sciences,Satisfied,Male,49,Satisfied,Junior or Associate,Laboratory Technician,Satisfied,Divorced,3491,11309,1,Y,No,13,Low,Very dissatisfied,80,Level 4,11-20,4,Average,11-20,7,8,9
31-45,0,Travel_Rarely,200,Research & Development,Very far,Masters degree,Other,Very satisfied,Male,32,Satisfied,Junior or Associate,Research Scientist,Very satisfied,Single,4541,7744,1,Y,No,25,High,Dissatisfied,80,Level 1,21-30,3,Good,21-30,11,13,17
18-30,0,Travel_Rarely,654,Sales,Very far,Bachelors degree,Marketing,Satisfied,Male,43,Very satisfied,Entry level,Sales Representative,Very satisfied,Single,2678,5050,1,Y,No,17,Low,Very satisfied,80,Level 1,1-10,2,Good,1-10,1,2,2
46-60,0,Travel_Rarely,150,Research & Development,Near-by,Masters degree,Technical Degree,Very satisfied,Male,60,Satisfied,Junior or Associate,Manufacturing Director,Very satisfied,Divorced,7379,17433,2,Y,No,11,Low,Satisfied,80,Level 2,11-20,3,Average,1-10,3,1,4
31-45,0,Non-Travel,179,Human Resources,Near-by,Doctorate degree,Medical,Very satisfied,Male,79,Very satisfied,Junior or Associate,Human Resources,Very dissatisfied,Married,6272,12858,7,Y,No,16,Low,Very dissatisfied,80,Level 2,11-20,3,Excellent,1-10,3,0,3
46-60,0,Travel_Rarely,696,Sales,Near-by,Masters degree,Marketing,Dissatisfied,Male,52,Very satisfied,Junior or Associate,Sales Executive,Very satisfied,Divorced,5220,10893,0,Y,Yes,18,Low,Dissatisfied,80,Level 2,11-20,3,Good,11-20,7,1,9
31-45,0,Travel_Frequently,116,Research & Development,Far,Bachelors degree,Other,Satisfied,Female,77,Dissatisfied,Entry level,Laboratory Technician,Dissatisfied,Married,2743,7331,1,Y,No,20,High,Satisfied,80,Level 2,1-10,2,Good,1-10,2,2,2
31-45,0,Travel_Frequently,1316,Research & Development,Near-by,College,Life Sciences,Very satisfied,Female,38,Satisfied,Junior or Associate,Research Scientist,Satisfied,Single,4998,2338,4,Y,Yes,14,Low,Very satisfied,80,Level 1,11-20,2,Good,1-10,7,0,7
31-45,0,Travel_Rarely,363,Research & Development,Near-by,Bachelors degree,Technical Degree,Satisfied,Female,77,Very dissatisfied,Mid level Specialist,Manufacturing Director,Very dissatisfied,Divorced,10252,4235,2,Y,Yes,21,High,Satisfied,80,Level 2,11-20,2,Good,1-10,7,7,7
31-45,0,Travel_Rarely,117,Research & Development,Near-by,Bachelors degree,Medical,Very dissatisfied,Male,60,Satisfied,Entry level,Research Scientist,Very satisfied,Married,2781,6311,0,Y,No,13,Low,Dissatisfied,80,Level 2,11-20,5,Good,11-20,10,4,10
31-45,0,Travel_Rarely,107,Sales,Far,Bachelors degree,Technical Degree,Dissatisfied,Female,84,Dissatisfied,Junior or Associate,Sales Executive,Dissatisfied,Divorced,6852,11591,7,Y,No,12,Low,Dissatisfied,80,Level 2,1-10,2,Excellent,1-10,1,1,3
18-30,0,Travel_Rarely,1356,Sales,Far,Masters degree,Life Sciences,Satisfied,Male,57,Satisfied,Junior or Associate,Sales Executive,Very satisfied,Single,4950,20623,0,Y,No,14,Low,Dissatisfied,80,Level 1,1-10,4,Good,1-10,3,1,1
18-30,0,Travel_Rarely,1465,Research & Development,Near-by,Bachelors degree,Medical,Very satisfied,Male,63,Satisfied,Entry level,Research Scientist,Dissatisfied,Married,3579,9369,0,Y,Yes,21,High,Very dissatisfied,80,Level 2,11-20,2,Good,11-20,9,5,7
31-45,0,Travel_Frequently,458,Research & Development,Very far,Doctorate degree,Medical,Very dissatisfied,Female,60,Satisfied,Mid level Specialist,Research Director,Very dissatisfied,Married,13191,23281,3,Y,Yes,17,Low,Satisfied,80,Level 1,21-30,6,Good,1-10,0,0,0
31-45,0,Non-Travel,1212,Sales,Near-by,College,Marketing,Satisfied,Female,78,Dissatisfied,Mid level Specialist,Sales Executive,Very satisfied,Married,10377,13755,4,Y,Yes,11,Low,Dissatisfied,80,Level 2,11-20,6,Average,11-20,2,4,12
18-30,0,Travel_Rarely,1103,Research & Development,Far,Bachelors degree,Life Sciences,Very dissatisfied,Male,42,Satisfied,Entry level,Research Scientist,Very dissatisfied,Married,2235,14377,1,Y,Yes,14,Low,Very satisfied,80,Level 3,1-10,3,Average,1-10,7,6,8
46-60,0,Travel_Frequently,966,Research & Development,Near-by,Masters degree,Life Sciences,Very satisfied,Female,53,Satisfied,Mid level Specialist,Manufacturing Director,Satisfied,Divorced,10502,9659,7,Y,No,17,Low,Very dissatisfied,80,Level 2,31-40,2,Bad,1-10,4,1,4
31-45,0,Travel_Rarely,1117,Research & Development,Near-by,Technical Training,Life Sciences,Very dissatisfied,Female,72,Very satisfied,Entry level,Research Scientist,Very satisfied,Married,2011,19982,1,Y,No,13,Low,Very satisfied,80,Level 2,11-20,5,Good,11-20,5,7,7
18-30,1,Non-Travel,504,Research & Development,Far,Bachelors degree,Medical,Very dissatisfied,Female,96,Dissatisfied,Entry level,Research Scientist,Dissatisfied,Single,1859,6148,1,Y,Yes,25,High,Dissatisfied,80,Level 1,1-10,2,Excellent,1-10,1,0,0
18-30,0,Travel_Rarely,1010,Research & Development,Near-by,Bachelors degree,Life Sciences,Very dissatisfied,Female,97,Satisfied,Entry level,Research Scientist,Very satisfied,Divorced,3760,5598,1,Y,No,15,Low,Very dissatisfied,80,Level 4,1-10,5,Good,1-10,2,1,2
46-60,0,Travel_Rarely,685,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,85,Satisfied,Senior,Research Director,Very satisfied,Married,17779,23474,3,Y,No,14,Low,Very dissatisfied,80,Level 1,31-40,2,Good,11-20,9,0,9
31-45,0,Travel_Rarely,1332,Research & Development,Far,College,Medical,Satisfied,Male,80,Satisfied,Junior or Associate,Healthcare Representative,Very dissatisfied,Married,6833,17089,1,Y,Yes,12,Low,Very satisfied,80,Level 1,1-10,2,Average,1-10,5,0,1
31-45,0,Travel_Rarely,1062,Research & Development,Very far,Bachelors degree,Medical,Satisfied,Female,96,Dissatisfied,Junior or Associate,Healthcare Representative,Very dissatisfied,Single,6812,17198,1,Y,No,19,Low,Dissatisfied,80,Level 1,11-20,2,Good,11-20,9,1,8
46-60,0,Travel_Rarely,326,Sales,Near-by,Bachelors degree,Life Sciences,Satisfied,Female,48,Dissatisfied,Junior or Associate,Sales Executive,Very satisfied,Single,5171,16490,5,Y,No,17,Low,Very satisfied,80,Level 1,11-20,2,Good,1-10,1,0,5
31-45,0,Travel_Rarely,920,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,96,Very dissatisfied,Executive,Research Director,Very satisfied,Married,19740,18625,3,Y,No,14,Low,Dissatisfied,80,Level 2,21-30,2,Good,1-10,7,0,7
46-60,0,Travel_Rarely,1098,Research & Development,Near-by,College,Medical,Very dissatisfied,Male,85,Dissatisfied,Executive,Manager,Satisfied,Married,18711,12124,2,Y,No,13,Low,Satisfied,80,Level 2,21-30,2,Excellent,1-10,0,0,0
31-45,0,Travel_Frequently,469,Research & Development,Near-by,Bachelors degree,Technical Degree,Satisfied,Male,46,Satisfied,Entry level,Research Scientist,Dissatisfied,Married,3692,9256,1,Y,No,12,Low,Satisfied,80,Level 1,11-20,2,Average,11-20,10,0,7
46-60,0,Travel_Rarely,969,Research & Development,Near-by,College,Technical Degree,Very satisfied,Male,76,Very satisfied,Entry level,Laboratory Technician,Dissatisfied,Single,2559,16620,5,Y,No,11,Low,Satisfied,80,Level 1,1-10,4,Average,1-10,0,0,0
18-30,0,Travel_Rarely,1167,Research & Development,Near-by,College,Life Sciences,Very dissatisfied,Male,76,Satisfied,Entry level,Research Scientist,Satisfied,Divorced,2517,3208,1,Y,No,11,Low,Dissatisfied,80,Level 4,1-10,2,Good,1-10,3,0,3
18-30,0,Travel_Rarely,1329,Research & Development,Near-by,Bachelors degree,Life Sciences,Satisfied,Male,82,Satisfied,Junior or Associate,Healthcare Representative,Very satisfied,Divorced,6623,4204,1,Y,Yes,11,Low,Dissatisfied,80,Level 3,1-10,2,Good,1-10,0,1,0
46-60,0,Travel_Rarely,715,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Male,76,Dissatisfied,Executive,Research Director,Very satisfied,Single,18265,8733,6,Y,No,12,Low,Satisfied,80,Level 1,21-30,3,Excellent,1-10,0,0,0
18-30,0,Travel_Rarely,694,Research & Development,Near-by,Bachelors degree,Life Sciences,Very satisfied,Female,87,Dissatisfied,Senior,Research Director,Very satisfied,Divorced,16124,3423,3,Y,No,14,Low,Dissatisfied,80,Level 3,1-10,2,Average,1-10,7,1,7
31-45,0,Travel_Rarely,1320,Research & Development,Very far,Bachelors degree,Technical Degree,Satisfied,Female,89,Very satisfied,Entry level,Research Scientist,Satisfied,Married,2585,21643,0,Y,No,17,Low,Very satisfied,80,Level 1,1-10,5,Average,1-10,0,0,0
31-45,0,Travel_Rarely,1099,Sales,Near-by,Bachelors degree,Marketing,Dissatisfied,Male,88,Satisfied,Executive,Manager,Dissatisfied,Married,18213,8751,7,Y,No,11,Low,Satisfied,80,Level 2,21-30,5,Good,21-30,9,3,10
31-45,0,Travel_Rarely,536,Sales,Far,Doctorate degree,Marketing,Very satisfied,Male,82,Very satisfied,Mid level Specialist,Sales Executive,Satisfied,Divorced,8380,21708,0,Y,Yes,14,Low,Very satisfied,80,Level 3,11-20,3,Good,1-10,8,0,8
18-30,0,Travel_Rarely,265,Research & Development,Very far,Bachelors degree,Life Sciences,Dissatisfied,Female,57,Very satisfied,Entry level,Research Scientist,Very satisfied,Single,2994,21221,1,Y,Yes,12,Low,Very satisfied,80,Level 1,1-10,2,Good,1-10,0,0,1
18-30,0,Travel_Rarely,373,Research & Development,Near-by,College,Life Sciences,Very satisfied,Male,47,Satisfied,Entry level,Research Scientist,Satisfied,Married,1223,16901,1,Y,No,22,High,Very satisfied,80,Level 2,1-10,2,Good,1-10,0,0,1
18-30,1,Travel_Frequently,599,Sales,Very far,Technical Training,Life Sciences,Satisfied,Male,73,Very dissatisfied,Entry level,Sales Representative,Very satisfied,Single,1118,8040,1,Y,Yes,14,Low,Very satisfied,80,Level 1,1-10,4,Good,1-10,0,1,0
